no,time,count,message size,span(ns),max(ns),min(ns),avg(ns)
431,2023.03.06 16:59:49,1024,200,27209191,207168,926,26571
432,2023.03.06 16:59:52,1024,200,1511950,16638,678,1476
433,2023.03.06 16:59:54,1024,200,1808851,19705,709,1766
434,2023.03.06 16:59:56,1024,200,76997917,472195,807,75193
435,2023.03.06 16:59:59,1024,200,2640770,114446,733,2578
436,2023.03.06 17:00:01,1024,200,22242097,226629,703,21720
437,2023.03.06 17:00:03,1024,200,25214736,639577,721,24623
438,2023.03.06 17:00:06,1024,200,1766878,17791,669,1725
439,2023.03.06 17:00:08,1024,200,25155550,203624,691,24565
440,2023.03.06 17:00:10,1024,200,1361706965,1843323,824222,1329791
441,2023.03.06 17:00:13,1024,200,34916150,397241,717,34097
442,2023.03.06 17:00:15,1024,200,2918479,532492,678,2850
443,2023.03.06 17:00:17,1024,200,1683424,24625,709,1643
444,2023.03.06 17:00:20,1024,200,1713462,18668,760,1673
445,2023.03.06 17:00:22,1024,200,25766747,229909,658,25162
446,2023.03.06 17:00:24,1024,200,1663206,18600,611,1624
447,2023.03.06 17:00:27,1024,200,1743265,20871,640,1702
448,2023.03.06 17:00:29,1024,200,23516879,449990,676,22965
449,2023.03.06 17:00:31,1024,200,23637714,243543,719,23083
450,2023.03.06 17:00:34,1024,200,111693077,581467,695,109075
451,2023.03.06 17:00:36,1024,200,31844443,272070,724,31098
452,2023.03.06 17:00:39,1024,200,47147493,174447,722,46042
453,2023.03.06 17:00:41,1024,200,18254618,1564835,809,17826
454,2023.03.06 17:00:43,1024,200,462060159,1107062,707,451230
455,2023.03.06 17:00:45,1024,200,48259995,253654,747,47128
456,2023.03.06 17:00:48,1024,200,44620475,251413,695,43574
457,2023.03.06 17:00:50,1024,200,1834509,268000,713,1791
458,2023.03.06 17:00:52,1024,200,2400086,42935,707,2343
459,2023.03.06 17:00:55,1024,200,434157331,1107624,797,423981
460,2023.03.06 17:00:57,1024,200,1678766,22949,713,1639
461,2023.03.06 17:00:59,1024,200,120737665,513272,723,117907
462,2023.03.06 17:01:02,1024,200,476927961,1306829,786,465749
463,2023.03.06 17:01:04,1024,200,30779280,611667,677,30057
464,2023.03.06 17:01:06,1024,200,7624157,200746,669,7445
465,2023.03.06 17:01:09,1024,200,100167540,388474,776,97819
466,2023.03.06 17:01:11,1024,200,2034685,21047,686,1986
467,2023.03.06 17:01:14,1024,200,98610030,329624,738,96298
468,2023.03.06 17:01:16,1024,200,26665835,264528,730,26040
469,2023.03.06 17:01:19,1024,200,16643207,201206,767,16253
470,2023.03.06 17:01:21,1024,200,13541667,124853,840,13224
471,2023.03.06 17:01:23,1024,200,23025897,219525,749,22486
472,2023.03.06 17:01:26,1024,200,1824239,25832,783,1781
473,2023.03.06 17:01:28,1024,200,48690772,314258,698,47549
474,2023.03.06 17:01:30,1024,200,615958573,1087858,115779,601522
475,2023.03.06 17:01:32,1024,200,8903290,108376,699,8694
476,2023.03.06 17:01:35,1024,200,23696069,210569,749,23140
477,2023.03.06 17:01:37,1024,200,57865379,296467,724,56509
478,2023.03.06 17:01:39,1024,200,101452816,380728,698,99075
479,2023.03.06 17:01:42,1024,200,2705976,39389,834,2642
480,2023.03.06 17:01:44,1024,200,1977921739,3298154,1003,1931564
481,2023.03.06 17:01:47,1024,200,1384877556,2328795,974,1352419
482,2023.03.06 17:01:49,1024,200,33409504,355982,730,32626
483,2023.03.06 17:01:51,1024,200,2201642,29685,658,2150
484,2023.03.06 17:01:54,1024,200,11448058,281467,846,11179
485,2023.03.06 17:01:56,1024,200,17592790,195142,834,17180
486,2023.03.06 17:01:58,1024,200,1685905,14534,693,1646
487,2023.03.06 17:02:01,1024,200,1569902,45449,683,1533
488,2023.03.06 17:02:03,1024,200,6100714,89584,675,5957
489,2023.03.06 17:02:05,1024,200,1730996,24060,707,1690
490,2023.03.06 17:02:08,1024,200,2534150,842311,718,2474
491,2023.03.06 17:02:10,1024,200,2307605,678435,644,2253
492,2023.03.06 17:02:12,1024,200,1715984,49281,700,1675
493,2023.03.06 17:02:15,1024,200,2535443,335060,745,2476
494,2023.03.06 17:02:17,1024,200,1968553,35006,748,1922
495,2023.03.06 17:02:19,1024,200,3866926,68896,624,3776
496,2023.03.06 17:02:22,1024,200,1766507,42045,737,1725
497,2023.03.06 17:02:24,1024,200,2050890,109004,711,2002
498,2023.03.06 17:02:27,1024,200,2055385,19378,827,2007
499,2023.03.06 17:02:29,1024,200,37781760,283161,705,36896
500,2023.03.06 17:02:31,1024,200,24953934,227204,717,24369
501,2023.03.06 17:02:34,1024,200,1498399,16571,709,1463
502,2023.03.06 17:02:36,1024,200,2074389,574250,680,2025
503,2023.03.06 17:02:38,1024,200,9861779,147212,652,9630
504,2023.03.06 17:02:41,1024,200,252309378,893138,731,246395
505,2023.03.06 17:02:43,1024,200,8225927,150251,721,8033
506,2023.03.06 17:02:45,1024,200,666020286,1275683,150190,650410
507,2023.03.06 17:02:48,1024,200,1767007,25409,715,1725
508,2023.03.06 17:02:50,1024,200,6511661,139260,724,6359
509,2023.03.06 17:02:52,1024,200,30469870,228376,713,29755
510,2023.03.06 17:02:55,1024,200,18285751,248098,797,17857
511,2023.03.06 17:02:57,1024,200,24190765,636057,783,23623
512,2023.03.06 17:02:59,1024,200,9527079,104636,690,9303
513,2023.03.06 17:03:02,1024,200,80652334,415220,673,78762
514,2023.03.06 17:03:04,1024,200,24484703,799804,696,23910
515,2023.03.06 17:03:06,1024,200,2503385128,3288628,1420481,2444712
516,2023.03.06 17:03:09,1024,200,4131267,75523,657,4034
517,2023.03.06 17:03:11,1024,200,1750261,30693,701,1709
518,2023.03.06 17:03:13,1024,200,3976089,63265,733,3882
519,2023.03.06 17:03:16,1024,200,35403393,1343892,773,34573
520,2023.03.06 17:03:18,1024,200,1949141,19711,751,1903
521,2023.03.06 17:03:20,1024,200,2204121,321467,728,2152
522,2023.03.06 17:03:23,1024,200,1650541,38768,698,1611
523,2023.03.06 17:03:25,1024,200,1794703,29796,658,1752
524,2023.03.06 17:03:27,1024,200,1562272,18841,707,1525
525,2023.03.06 17:03:30,1024,200,2420324,585616,801,2363
526,2023.03.06 17:03:32,1024,200,29791903,425871,772,29093
527,2023.03.06 17:03:34,1024,200,26837311,211584,703,26208
528,2023.03.06 17:03:37,1024,200,1893708,66051,695,1849
529,2023.03.06 17:03:39,1024,200,26791796,254542,753,26163
530,2023.03.06 17:03:41,1024,200,22556918,194579,740,22028
531,2023.03.06 17:03:44,1024,200,2975370,70688,706,2905
532,2023.03.06 17:03:46,1024,200,107602536,583823,723,105080
533,2023.03.06 17:03:48,1024,200,1625935,20980,726,1587
534,2023.03.06 17:03:50,1024,200,41430028,343505,704,40459
535,2023.03.06 17:03:53,1024,200,296805343,937195,743,289848
536,2023.03.06 17:03:55,1024,200,587646310,1255884,1047,573873
537,2023.03.06 17:03:57,1024,200,58997413,739590,756,57614
538,2023.03.06 17:04:00,1024,200,20246914,206103,726,19772
539,2023.03.06 17:04:02,1024,200,7162109,151102,700,6994
540,2023.03.06 17:04:04,1024,200,1736914,22505,789,1696
541,2023.03.06 17:04:07,1024,200,2134706,27477,863,2084
542,2023.03.06 17:04:09,1024,200,33770446,270018,683,32978
543,2023.03.06 17:04:11,1024,200,791428770,1250711,341085,772879
544,2023.03.06 17:04:14,1024,200,23176858,284175,727,22633
545,2023.03.06 17:04:16,1024,200,6164768,94668,636,6020
546,2023.03.06 17:04:18,1024,200,14050795,163307,662,13721
547,2023.03.06 17:04:21,1024,200,298191925,771380,734,291203
548,2023.03.06 17:04:23,1024,200,13779988,97231,655,13457
549,2023.03.06 17:04:25,1024,200,52531802,216427,677,51300
550,2023.03.06 17:04:28,1024,200,1492865,18643,637,1457
551,2023.03.06 17:04:30,1024,200,1593980,20393,737,1556
552,2023.03.06 17:04:32,1024,200,1684733,20288,764,1645
553,2023.03.06 17:04:35,1024,200,38579816,232266,772,37675
554,2023.03.06 17:04:37,1024,200,32764967,251939,726,31997
555,2023.03.06 17:04:39,1024,200,2201464,549492,770,2149
556,2023.03.06 17:04:42,1024,200,2051749,211004,788,2003
557,2023.03.06 17:04:44,1024,200,24227898,201417,723,23660
558,2023.03.06 17:04:46,1024,200,88321323,482027,785,86251
559,2023.03.06 17:04:49,1024,200,415344440,888541,788,405609
